"","test.stat","test.res","test.criterion"
"Argentina,Buenos Aires",5.75652461710518,0,5.82673749300714
"Australia,Adelaide",6.21755350339117,1,6.06091781803975
"Australia,Alice Springs",3.19113335691662,0,6.04992028583077
"Australia,Cap Otway",4.63243781241989,0,6.03972269693687
"Austria,Kremsmunster",5.18371540722282,0,5.92366288358392
"Austria,Vienna",5.87216204645627,0,6.0107977804787
"Belgium,Uccle",3.47259006528342,0,6.03647500925923
"Canada,Winnipeg",3.1515153772001,0,5.97574843061359
"Croatia,Zagreb",4.59283499918955,0,5.9971402919338
"Czech Republic,Prague",6.59619141794059,1,6.1130556983817
"Denmark,Copenhagen",4.76104095765176,0,6.11312333385592
"Denmark,Vestervig",3.95057632142367,0,5.90631126431182
"Egypt,Alexandria",5.57693203246421,0,5.90266537191701
"France,Nantes",6.01007179487957,0,6.04263914058148
"France,Paris",6.60478431273717,1,6.12502595017154
"Germany,Berlin",4.8725869717774,0,6.13949735463503
"Germany,Hohenpeissenberg",5.19847781664009,0,6.08490017347308
"Germany,Karlsruhe",5.49371603292262,0,5.89142460173226
"Greece,Athens",5.59025614403562,0,6.00285977068899
"Greenland,Illulisat",4.70897230392783,0,5.98592316542027
"Greenland,Ivittuut",4.24905383711324,0,5.98827211972947
"Hungary,Budapest",4.91778057889193,0,6.1001888668448
"Iceland,Djupivogur",11.1653914012038,1,5.97310437535329
"Iceland,Reykjavik",7.73402243425411,1,6.00741750845095
"India,Agra",6.4617740179173,1,6.03957870292048
"India,Allahabad",2.86312913723376,0,5.79881806377394
"India,Bombay",4.24219768668075,0,5.61658663066264
"India,Indore",5.28249707407084,0,6.04420119506207
"India,Madras",3.03432945606211,0,5.93591477866401
"India,Nagpur",4.46164629736325,0,5.99665654544003
"Israel,Jerusalem",6.13418481946711,1,6.03208143584601
"Italy,Bologna",4.07678109642959,0,6.07052711896318
"Italy,Milan",6.80472461213301,1,6.08719598071947
"Japan,Hiroshima",3.00521723426444,0,6.0718973227926
"Japan,Nagasaki",3.65009760990446,0,6.06608802614744
"Japan,Tokyo",4.69422684887502,0,5.95494637629319
"Kazakhstan,Kazalinsk",5.15201621975942,0,5.88360725979145
"Luxembourg,Luxembourg",4.30920283257147,0,6.05972443228626
"New Zealand,Wellington",6.17763876610224,1,5.73762806764456
"Norway,Andoya",4.06596421273696,0,5.98449608237948
"Norway,Bergen",3.4253558831453,0,5.99915463591516
"Norway,Bodo",3.3156712588784,0,5.99584860616029
"Norway,Dombas",4.4606031191027,0,5.92018281860603
"Norway,Karasjok",2.62496140285429,0,5.99218184066695
"Norway,Mandal",3.04742247926227,0,5.82659021476054
"Norway,Oksoy Lighthouse",4.83356023424652,0,5.86920965350632
"Norway,Ona",3.38901215028215,0,5.99369469478981
"Norway,Oslo",2.95204799601977,0,6.03462967817484
"Norway,Roros",2.86054629343222,0,5.88326943479816
"Norway,Tromso",2.61327631002778,0,5.95420522038874
"Norway,Utsira",4.54710649344517,0,5.97530912042571
"Norway,Vardo",5.0630770938077,0,6.06626641561085
"Pakistan,Lahore",5.67380120957744,0,5.97910250471885
"Portugal,Lisbon",4.20245618375374,0,5.79815540844725
"Romania,Sulina",4.19092340716472,0,6.0232492229938
"Russia,Archangelsk",4.25477919068562,0,5.71083517459676
"Russia,Sort",3.30749671826349,0,5.84909030187734
"Russia,St Petersburg",3.80394519039799,0,5.94462002137869
"Spain,Gibraltar",5.01477246295921,0,5.98400126698354
"Sweden,Bromma",5.94504539849096,0,6.12237045838153
"Sweden,Stockholm",6.56562482316577,1,6.12875670084452
"Sweden,Tullinge",6.48497459505093,1,6.11831464749953
"Sweden,Uppsala",4.34371775652527,0,6.12172377594594
"Switzerland,Basel",4.62179073280964,0,6.0948931102751
"Switzerland,Geneva",5.07647360791552,0,6.12122468536913
"UK,Aberdeen",3.62380511659416,0,5.80591475212746
"UK,Belfast",4.19915413273871,0,6.03170018993153
"UK,Cambridge",4.16157570707603,0,6.03877711616596
"UK,Durham",3.42578786251957,0,6.04938363040336
"UK,Edinbourg",5.05910078077971,0,6.08418887084778
"UK,London",4.4908133768097,0,6.07155435604753
"UK,Plymouth",6.16177828748194,1,6.02649561057094
"USA,Atlanta",3.03601202579013,0,6.06133233315296
"USA,Bismarck",6.31412247979281,1,6.04106284099381
"USA,Boise",5.21613405153899,0,5.99264487981055
"USA,Boston",3.34024638465562,0,6.04400008670808
"USA,Chattanooga",4.41761873294824,0,6.03409027821111
"USA,Cincinatti",3.20999326882746,0,6.02963078709433
"USA,Columbus",3.71216861460337,0,6.04477275195276
"USA,Concord",3.17689181517067,0,6.02398724022931
"USA,Des Moines",4.69905036579326,0,6.04062586390659
"USA,Detroit",3.79833351700894,0,6.05759730336247
"USA,Dodge City",4.66622812643521,0,6.04995753879057
"USA,Fargo",4.00530256838525,0,6.05334902406135
"USA,Galveston",3.2541996502739,0,6.05425603242536
"USA,Indianapolis",4.70025393175874,0,6.05269988936935
"USA,Jacksonville",4.63196827067529,0,5.9961540911792
"USA,Knoxville",4.1953189430866,0,6.05374173348288
"USA,Las Vegas",3.92033989186597,0,6.04031651176894
"USA,Madison",3.55630510432691,0,6.0456141090346
"USA,Marquette",4.00491747824817,0,5.98338003720171
"USA,Milwaukee",3.84180697295223,0,6.043730990368
"USA,Mobile",6.05103524507249,1,5.90110478404801
"USA,Nashville",4.77657320124314,0,6.02861038815763
"USA,New Orleans",4.44575440889863,0,5.74269363230446
"USA,New York",3.6182443524633,0,6.02530796666245
