"","stationame_all","Hl","Sd_Hl","Lo_Hl","Hi_Hl","Hc","Hw","SE_Hw","Lo_Hw","Hi_Hw","overlap","Q_Hl","Q_Hw"
"1","Argentina, Buenos Aires",0.622293914355368,0.0197143507934754,0.588462345982029,0.653905345239315,0.785246984077086,0.712689132100481,0.0156009462014315,0.665886293496187,0.759491970704775,0,-5.29937103871136,-3.25904658976056
"2","Australia, Adelaide",0.621915531038626,0.0181431380176262,0.579604687943372,0.644897569765413,0.695872062515625,0.66240182474388,0.0164754868935089,0.612975364063353,0.711828285424407,1,-1.90623219104434,-1.01319884489723
"3","Australia, Alice Springs",0.643062877336874,0.0167586577451423,0.607072722532397,0.665646236855465,0.700171141326713,0.68344307718657,0.0165598771858893,0.633763445628902,0.733122708744238,1,-1.49014492237152,-0.336707264022125
"4","Australia, Cap Otway",0.69620877944727,0.0148688998227994,0.67130126283833,0.721061136545273,0.803143040473722,0.74370245965149,0.0159057502180526,0.695985208997332,0.791419710305648,1,-4.64388447046037,-2.59665225033069
"5","Austria, Kremsmunster",0.602027921685297,0.0177408016811932,0.564476915108464,0.626373842044288,0.654584625731279,0.65061426739268,0.0162596267221259,0.601835387226302,0.699393147559058,1,-1.60622927692039,-0.714504942924298
"6","Austria, Vienna",0.609998340613329,0.0203610229665142,0.574869479927669,0.647977204294798,0.6838504295651,0.659330715654288,0.0152402458647028,0.61360997806018,0.705051453248396,1,-2.17160271910281,-1.1415949625521
"7","Belgium, Uccle",0.595486226437549,0.018977259658011,0.562817845792087,0.620403122817401,0.660101813103667,0.64297950654003,0.0141467708324261,0.600539194042752,0.685419819037308,1,-1.69469362560594,-0.774940378880155
"8","Canada, Winnipeg",0.614981379456955,0.0187685280759255,0.575679174831701,0.646253318998745,0.65430649941007,0.659927724003925,0.016425250404347,0.610651972790884,0.709203475216966,1,-1.34910075092537,-0.357022328541324
"9","Croatia, Zagreb",0.609495496271705,0.0182304615864785,0.573873944030018,0.639806158394806,0.653894063188434,0.650485518048119,0.0154853847379675,0.604029363834217,0.696941672262022,1,-1.44933368166726,-0.585054440909223
"10","Czech Republic, Prague",0.624660029920156,0.0161383941388593,0.589684346721144,0.649114394565567,0.683704209267667,0.670193916314269,0.012424701890676,0.632919810642241,0.707468021986297,1,-2.27345522500482,-0.855266156845281
"11","Denmark, Copenhagen",0.693882603925036,0.0137473191671627,0.667432004842702,0.712404618278462,0.754500674092801,0.758248319960693,0.0130880003858217,0.718984318803228,0.797512321118158,0,-4.4641085338658,-0.693453439368359
"12","Denmark, Vestervig",0.698908653756375,0.0217067456154702,0.65662122206193,0.731683654460165,0.724562256722709,0.763485692738345,0.016350462543074,0.714434305109123,0.812537080367567,1,-2.39246570908948,0.984908687821006
"13","Egypt, Alexandria",0.740172377348622,0.0149648765016467,0.710130797318694,0.761481859267831,0.773418189173013,0.798061940794956,0.0178574291024872,0.744489653487494,0.851634228102418,1,-3.49814469237307,0.107809185635445
"14","France, Nantes",0.601523876553306,0.0155141659026354,0.56924004134298,0.626236209234304,0.643237401674493,0.643286565566775,0.0149295347141897,0.598497961424206,0.688075169709344,1,-1.31216717390014,-0.460492552896486
"15","France, Paris",0.602722515257844,0.0156394923396247,0.563972253032926,0.626122694644403,0.732614767608545,0.672214020309482,0.0118715578743845,0.636599346686328,0.707828693932635,0,-4.34777106970875,-2.79054714166175
"16","Germany, Berlin",0.621465276876736,0.014762723517215,0.595496592505355,0.644212476710554,0.664227024119885,0.66179359955245,0.0117444311130453,0.626560306213314,0.697026892891586,1,-1.90668681698589,-0.62598639791564
